id,group_id,hop_index,n_hops,hop,label,question,answer,source,supporting_title,supporting_sent_id,is_injected_error,split
5a84a7305542997175ce1f14-clean,5a84a7305542997175ce1f14,1,3,"He coached football at Utah State University (1955–1957), the University of Colorado (1958), the University of Michigan (1959–1965), Gustavus Adolphus College (1966–1970), and for the Minnesota Vikings (1971–1978).",0,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Jack Nelson (American football),1,False,test
5a84a7305542997175ce1f14-clean,5a84a7305542997175ce1f14,2,3,"Gustavus Adolphus College ( ) is a private, coeducational liberal arts college.",0,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Gustavus Adolphus College,0,False,test
5a84a7305542997175ce1f14-clean,5a84a7305542997175ce1f14,3,3,"A four-year, residential institution, Gustavus Adolphus College was founded in 1862 by Swedish Americans and is affiliated with the Evangelical Lutheran Church in America.",0,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Gustavus Adolphus College,1,False,test
5a84a7305542997175ce1f14-error,5a84a7305542997175ce1f14,1,3,"He coached football at Utah State University (1955–1957), the University of Colorado (1958), the University of Michigan (1959–1965), Gustavus Adolphus College (1966–1970), and for the Minnesota Vikings (1971–1978).",0,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Jack Nelson (American football),1,False,test
5a84a7305542997175ce1f14-error,5a84a7305542997175ce1f14,2,3,"Gustavus Adolphus College ( ) is a private, coeducational liberal arts college.",0,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Gustavus Adolphus College,0,False,test
5a84a7305542997175ce1f14-error,5a84a7305542997175ce1f14,3,3,"A four-year, residential institution, Gustavus Adolphus College was founded in 1865 by Swedish Americans and is affiliated with the Evangelical Lutheran Church in America.",1,Who founded the college Jack Nelson coached at from 1966-1970?,Swedish Americans,hotpotqa,Gustavus Adolphus College,1,True,test
5ae480ea5542996836b02cbc-clean,5ae480ea5542996836b02cbc,1,2,"Nardole is a fictional character created by Steven Moffat and portrayed by Matt Lucas in the long-running British science fiction television series ""Doctor Who"".",0,"For what TV show, is the actor who plays the role of Nardole in Doctor Who, best known ?",Little Britain,hotpotqa,Nardole,0,False,validation
5ae480ea5542996836b02cbc-clean,5ae480ea5542996836b02cbc,2,2,"Matthew Richard Lucas (born 5 March 1974) is an English comedian, screenwriter, actor and singer, best known for his work with David Walliams in the television show ""Little Britain"", as well as for his portrayals of the scorekeeping baby Georgie Dawes in the comedy panel game ""Shooting Stars"" and both Tweedle Dum and Tweedle Dee in ""Alice in Wonderland"" and its sequel, ""Alice Through the Looking Glass"".",0,"For what TV show, is the actor who plays the role of Nardole in Doctor Who, best known ?",Little Britain,hotpotqa,Matt Lucas,0,False,validation
5ae480ea5542996836b02cbc-error,5ae480ea5542996836b02cbc,1,2,"Nardole is a fictional character created by Steven Moffat and portrayed by Russell Howard in the long-running British science fiction television series ""Doctor Who"".",1,"For what TV show, is the actor who plays the role of Nardole in Doctor Who, best known ?",Little Britain,hotpotqa,Nardole,0,True,validation
5ae480ea5542996836b02cbc-error,5ae480ea5542996836b02cbc,2,2,"Matthew Richard Lucas (born 5 March 1974) is an English comedian, screenwriter, actor and singer, best known for his work with David Walliams in the television show ""Little Britain"", as well as for his portrayals of the scorekeeping baby Georgie Dawes in the comedy panel game ""Shooting Stars"" and both Tweedle Dum and Tweedle Dee in ""Alice in Wonderland"" and its sequel, ""Alice Through the Looking Glass"".",0,"For what TV show, is the actor who plays the role of Nardole in Doctor Who, best known ?",Little Britain,hotpotqa,Matt Lucas,0,False,validation
5a79c8c4554299148911fa4f-clean,5a79c8c4554299148911fa4f,1,2,"Issa Cissokho (also written as Cissoxo or Cissoko) is a Senegalese musician of Malian griot roots, a composer, and saxophone player for Orchestra Baobab.",0,Issa Cissokho is of descent from a nation that is landlocked where?,West Africa,hotpotqa,Issa Cissokho,0,False,test
5a79c8c4554299148911fa4f-clean,5a79c8c4554299148911fa4f,2,2,"Mali ( ; ] ), officially the Republic of Mali (French: ""République du Mali"" ), is a landlocked country in West Africa.",0,Issa Cissokho is of descent from a nation that is landlocked where?,West Africa,hotpotqa,Mali,0,False,test
5a79c8c4554299148911fa4f-error,5a79c8c4554299148911fa4f,1,2,"Pierre Issa (also written as Cissoxo or Cissoko) is a Senegalese musician of Malian griot roots, a composer, and saxophone player for Orchestra Baobab.",1,Issa Cissokho is of descent from a nation that is landlocked where?,West Africa,hotpotqa,Issa Cissokho,0,True,test
5a79c8c4554299148911fa4f-error,5a79c8c4554299148911fa4f,2,2,"Mali ( ; ] ), officially the Republic of Mali (French: ""République du Mali"" ), is a landlocked country in West Africa.",0,Issa Cissokho is of descent from a nation that is landlocked where?,West Africa,hotpotqa,Mali,0,False,test
5ae0c2c355429906c02dab35-clean,5ae0c2c355429906c02dab35,1,2,"""Beyond Geek"" Season 1 featured the 24 Hours of LeMons, Dagorhir, Belegarth, Amtgard, 8 Bit Weapon, NES Homebrew, JP Aerospace, WW2 Re-enactors, and Real-life Superheroes.",0,"Which show featured a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016) in season 1?","""Beyond Geek""",hotpotqa,Beyond Geek,0,False,train
5ae0c2c355429906c02dab35-clean,5ae0c2c355429906c02dab35,2,2,"The 24 Hours of LeMons is a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016).",0,"Which show featured a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016) in season 1?","""Beyond Geek""",hotpotqa,24 Hours of LeMons,0,False,train
5ae0c2c355429906c02dab35-error,5ae0c2c355429906c02dab35,1,2,"""Beyond Geek"" Season 1 featured the 25 Hours of LeMons, Dagorhir, Belegarth, Amtgard, 8 Bit Weapon, NES Homebrew, JP Aerospace, WW2 Re-enactors, and Real-life Superheroes.",1,"Which show featured a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016) in season 1?","""Beyond Geek""",hotpotqa,Beyond Geek,0,True,train
5ae0c2c355429906c02dab35-error,5ae0c2c355429906c02dab35,2,2,"The 24 Hours of LeMons is a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016).",0,"Which show featured a series of endurance races held on paved road race courses across the United States, Australia (since October 2015) and New Zealand (first event held September 2016) in season 1?","""Beyond Geek""",hotpotqa,24 Hours of LeMons,0,False,train
5adf3b905542992d7e9f92fb-clean,5adf3b905542992d7e9f92fb,1,3,"Hoku Ho Clements (born Hoku Christian Ho, June 10, 1981), known mononymously as Hoku, is an American singer.",0,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Hoku,0,False,test
5adf3b905542992d7e9f92fb-clean,5adf3b905542992d7e9f92fb,2,3,"She is best known for her 2000 hit single ""Another Dumb Blonde"" from the soundtrack and film ""Snow Day"" and the song ""Perfect Day"" from the soundtrack and film ""Legally Blonde"".",0,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Hoku,1,False,test
5adf3b905542992d7e9f92fb-clean,5adf3b905542992d7e9f92fb,3,3,Snow Day is a 2000 American comedy film directed by Chris Koch and produced by Paramount Pictures and Nickelodeon Movies.,0,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Snow Day (film),0,False,test
5adf3b905542992d7e9f92fb-error,5adf3b905542992d7e9f92fb,1,3,"Hoku Ho Clements (born Hoku Christian Ho, June 10, 1983), known mononymously as Hoku, is an American singer.",1,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Hoku,0,True,test
5adf3b905542992d7e9f92fb-error,5adf3b905542992d7e9f92fb,2,3,"She is best known for her 2000 hit single ""Another Dumb Blonde"" from the soundtrack and film ""Snow Day"" and the song ""Perfect Day"" from the soundtrack and film ""Legally Blonde"".",0,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Hoku,1,False,test
5adf3b905542992d7e9f92fb-error,5adf3b905542992d7e9f92fb,3,3,Snow Day is a 2000 American comedy film directed by Chris Koch and produced by Paramount Pictures and Nickelodeon Movies.,0,"Hoku's song ""Another Dumb Blond"" was from the film Snow Day by which company?",Paramount Pictures and Nickelodeon Movies,hotpotqa,Snow Day (film),0,False,test
5a8caa8c554299240d9c21c8-clean,5a8caa8c554299240d9c21c8,1,2,"It stars Meredith Baxter (credited as Meredith Baxter-Birney) as a girl named Joanne Denver, who was adopted at birth and is searching for her birth parents.",0,"The star of ""The Stranger Who Looks Like Me"" received an Emmy Award nomination for playing the title role in what 1992 TV film?","""A Woman Scorned: The Betty Broderick Story""",hotpotqa,The Stranger Who Looks Like Me,1,False,train
5a8caa8c554299240d9c21c8-clean,5a8caa8c554299240d9c21c8,2,2,"A five-time Emmy Award nominee, one of her nominations was for playing the title role in the 1992 TV film ""A Woman Scorned: The Betty Broderick Story"".",0,"The star of ""The Stranger Who Looks Like Me"" received an Emmy Award nomination for playing the title role in what 1992 TV film?","""A Woman Scorned: The Betty Broderick Story""",hotpotqa,Meredith Baxter,2,False,train
5a8caa8c554299240d9c21c8-error,5a8caa8c554299240d9c21c8,1,2,"It stars Meredith Baxter (credited as Meredith Baxter-Birney) as a girl named Joanne Denver, who was adopted at birth and is searching for her birth parents.",0,"The star of ""The Stranger Who Looks Like Me"" received an Emmy Award nomination for playing the title role in what 1992 TV film?","""A Woman Scorned: The Betty Broderick Story""",hotpotqa,The Stranger Who Looks Like Me,1,False,train
5a8caa8c554299240d9c21c8-error,5a8caa8c554299240d9c21c8,2,2,"A five-time Emmy Award nominee, one of her nominations was for playing the title role in the 1994 TV film ""A Woman Scorned: The Betty Broderick Story"".",1,"The star of ""The Stranger Who Looks Like Me"" received an Emmy Award nomination for playing the title role in what 1992 TV film?","""A Woman Scorned: The Betty Broderick Story""",hotpotqa,Meredith Baxter,2,True,train
5ac01be85542992a796dec8e-clean,5ac01be85542992a796dec8e,1,2,"""The Prophet's Song"" is a song by the British rock band Queen, originally released on their fourth studio album ""A Night at the Opera"" in 1975.",0,"In what year was the Queen album containing the song ""The Prophet's Song"" released?",1975,hotpotqa,The Prophet's Song,0,False,train
5ac01be85542992a796dec8e-clean,5ac01be85542992a796dec8e,2,2,"A Night at the Opera is the fourth studio album by the British rock band Queen, released on 21 November 1975 by EMI Records in the United Kingdom and by Elektra Records in the United States.",0,"In what year was the Queen album containing the song ""The Prophet's Song"" released?",1975,hotpotqa,A Night at the Opera (Queen album),0,False,train
5ac01be85542992a796dec8e-error,5ac01be85542992a796dec8e,1,2,"""The Prophet's Song"" is a song by the British rock band Queen, originally released on their fourth studio album ""A Night at the Opera"" in 1975.",0,"In what year was the Queen album containing the song ""The Prophet's Song"" released?",1975,hotpotqa,The Prophet's Song,0,False,train
5ac01be85542992a796dec8e-error,5ac01be85542992a796dec8e,2,2,"A Night at the Opera is the fourth studio album by the British rock band Queen, released on 23 November 1975 by EMI Records in the United Kingdom and by Elektra Records in the United States.",1,"In what year was the Queen album containing the song ""The Prophet's Song"" released?",1975,hotpotqa,A Night at the Opera (Queen album),0,True,train
5ae69a455542996d980e7c48-clean,5ae69a455542996d980e7c48,1,2,"Robert Jocelyn Barham (born January 25, 1949) is an American large-scale farmer from Morehouse Parish in northern Louisiana who served for all eight years under former Governor Bobby Jindal as the secretary of his state's Department of Wildlife and Fisheries.",0,Robert J. Barham was the secretary of Department of Wildlife and Fisheries under the politician who was the vice chairman of what group?,Republican Governors Association,hotpotqa,Robert J. Barham,0,False,train
5ae69a455542996d980e7c48-clean,5ae69a455542996d980e7c48,2,2,"Piyush ""Bobby"" Jindal (born June 10, 1971) is an American politician who was the 55th Governor of Louisiana between 2008 and 2016, and previously served as a U.S. Congressman and as the vice chairman of the Republican Governors Association.",0,Robert J. Barham was the secretary of Department of Wildlife and Fisheries under the politician who was the vice chairman of what group?,Republican Governors Association,hotpotqa,Bobby Jindal,0,False,train
5ae69a455542996d980e7c48-error,5ae69a455542996d980e7c48,1,2,"Robert Jocelyn Barham (born January 25, 1949) is an American large-scale farmer from Morehouse Parish in northern Louisiana who served for all eight years under former Governor Robert Hormats as the secretary of his state's Department of Wildlife and Fisheries.",1,Robert J. Barham was the secretary of Department of Wildlife and Fisheries under the politician who was the vice chairman of what group?,Republican Governors Association,hotpotqa,Robert J. Barham,0,True,train
5ae69a455542996d980e7c48-error,5ae69a455542996d980e7c48,2,2,"Piyush ""Bobby"" Jindal (born June 10, 1971) is an American politician who was the 55th Governor of Louisiana between 2008 and 2016, and previously served as a U.S. Congressman and as the vice chairman of the Republican Governors Association.",0,Robert J. Barham was the secretary of Department of Wildlife and Fisheries under the politician who was the vice chairman of what group?,Republican Governors Association,hotpotqa,Bobby Jindal,0,False,train
5add818c5542992ae4cec590-clean,5add818c5542992ae4cec590,1,3,"The album includes the hit singles ""Money on My Mind"" and ""Stay with Me"", both of which were number one in the UK; the latter becoming a hit worldwide, peaking in the top ten in over 20 countries, including reaching number two in the US.",0,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,In the Lonely Hour,3,False,train
5add818c5542992ae4cec590-clean,5add818c5542992ae4cec590,2,3,"""Stay with Me"" is a song by English singer Sam Smith from his debut studio album ""In the Lonely Hour"" (2014).",0,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,Stay with Me (Sam Smith song),0,False,train
5add818c5542992ae4cec590-clean,5add818c5542992ae4cec590,3,3,It was released in the United States on 14 April 2014 and in the United Kingdom on 18 May 2014.,0,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,Stay with Me (Sam Smith song),1,False,train
5add818c5542992ae4cec590-error,5add818c5542992ae4cec590,1,3,"The album includes the hit singles ""Money on My Mind"" and ""Safe with Me"", both of which were number one in the UK; the latter becoming a hit worldwide, peaking in the top ten in over 20 countries, including reaching number two in the US.",1,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,In the Lonely Hour,3,True,train
5add818c5542992ae4cec590-error,5add818c5542992ae4cec590,2,3,"""Stay with Me"" is a song by English singer Sam Smith from his debut studio album ""In the Lonely Hour"" (2014).",0,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,Stay with Me (Sam Smith song),0,False,train
5add818c5542992ae4cec590-error,5add818c5542992ae4cec590,3,3,It was released in the United States on 14 April 2014 and in the United Kingdom on 18 May 2014.,0,"When was the song of  Sam Smith's released in United states which along with the song  ""Money on My Mind"" were number one in the UK?",14 April 2014,hotpotqa,Stay with Me (Sam Smith song),1,False,train
5a73249d5542991f9a20c63f-clean,5a73249d5542991f9a20c63f,1,2,"Hadrian is an opera by American-Canadian singer-songwriter Rufus Wainwright, scheduled to premiere in 2018 by Toronto's Canadian Opera Company.",0,"What is the name of the opera scheduled to premier in 2018 written by Rufus Wainwright, the composer of Prima Donna?",Hadrian,hotpotqa,Hadrian (opera),0,False,train
5a73249d5542991f9a20c63f-clean,5a73249d5542991f9a20c63f,2,2,Prima Donna is an opera composed by Canadian-American singer-songwriter Rufus Wainwright to a French language libretto which he co-authored with Bernadette Colomine.,0,"What is the name of the opera scheduled to premier in 2018 written by Rufus Wainwright, the composer of Prima Donna?",Hadrian,hotpotqa,Prima Donna (opera),0,False,train
5a73249d5542991f9a20c63f-error,5a73249d5542991f9a20c63f,1,2,"The Best of Rufus Wainwright is an opera by American-Canadian singer-songwriter Rufus Wainwright, scheduled to premiere in 2018 by Toronto's Canadian Opera Company.",1,"What is the name of the opera scheduled to premier in 2018 written by Rufus Wainwright, the composer of Prima Donna?",Hadrian,hotpotqa,Hadrian (opera),0,True,train
5a73249d5542991f9a20c63f-error,5a73249d5542991f9a20c63f,2,2,Prima Donna is an opera composed by Canadian-American singer-songwriter Rufus Wainwright to a French language libretto which he co-authored with Bernadette Colomine.,0,"What is the name of the opera scheduled to premier in 2018 written by Rufus Wainwright, the composer of Prima Donna?",Hadrian,hotpotqa,Prima Donna (opera),0,False,train
5ae40a2e5542996836b02c21-clean,5ae40a2e5542996836b02c21,1,4,"""Gotta Getcha"" is a song by American record producer Jermaine Dupri, released as the first single from his compilation album ""Young, Fly & Flashy, Vol.",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,0,False,train
5ae40a2e5542996836b02c21-clean,5ae40a2e5542996836b02c21,2,4,"1"" (2005).",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,1,False,train
5ae40a2e5542996836b02c21-clean,5ae40a2e5542996836b02c21,3,4,"The album version features vocals by Johntá Austin, and uncredited vocals from Janet Jackson and Missy Elliott, who helped write the song alongside Dupri.",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,2,False,train
5ae40a2e5542996836b02c21-clean,5ae40a2e5542996836b02c21,4,4,"Janet Damita Jo Jackson (born May 16, 1966) is an American singer, songwriter, dancer and actress.",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Janet Jackson,0,False,train
5ae40a2e5542996836b02c21-error,5ae40a2e5542996836b02c21,1,4,"""Gotta Getcha"" is a song by American record producer Jermaine Dupri, released as the first single from his compilation album ""Young, Fly & Flashy, Vol.",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,0,False,train
5ae40a2e5542996836b02c21-error,5ae40a2e5542996836b02c21,2,4,"1"" (2005).",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,1,False,train
5ae40a2e5542996836b02c21-error,5ae40a2e5542996836b02c21,3,4,"The album version features vocals by Johntá Austin, and uncredited vocals from The Entertainer and Missy Elliott, who helped write the song alongside Dupri.",1,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Gotta Getcha,2,True,train
5ae40a2e5542996836b02c21-error,5ae40a2e5542996836b02c21,4,4,"Janet Damita Jo Jackson (born May 16, 1966) is an American singer, songwriter, dancer and actress.",0,"What is the full name of the singer and songwriter who, along with Missy Elliott, had uncredited vocals on the ""Young, Fly and Flashy, Vol. 1"" album version of the song ""Gotta Getcha""?",Janet Damita Jo Jackson,hotpotqa,Janet Jackson,0,False,train
5ae744385542997b22f6a662-clean,5ae744385542997b22f6a662,1,2,"In 1974 it was released on the album ""Diamond Dogs"".",0,"The David Bowie song ""Big Brother"" was released on an album released by what record label?",RCA Records,hotpotqa,Big Brother (David Bowie song),1,False,train
5ae744385542997b22f6a662-clean,5ae744385542997b22f6a662,2,2,"Diamond Dogs is the eighth studio album by the English musician David Bowie, released on 24 May 1974 by RCA Records.",0,"The David Bowie song ""Big Brother"" was released on an album released by what record label?",RCA Records,hotpotqa,Diamond Dogs,0,False,train
5ae744385542997b22f6a662-error,5ae744385542997b22f6a662,1,2,"In 1977 it was released on the album ""Diamond Dogs"".",1,"The David Bowie song ""Big Brother"" was released on an album released by what record label?",RCA Records,hotpotqa,Big Brother (David Bowie song),1,True,train
5ae744385542997b22f6a662-error,5ae744385542997b22f6a662,2,2,"Diamond Dogs is the eighth studio album by the English musician David Bowie, released on 24 May 1974 by RCA Records.",0,"The David Bowie song ""Big Brother"" was released on an album released by what record label?",RCA Records,hotpotqa,Diamond Dogs,0,False,train
5a736ae655429901807db03b-clean,5a736ae655429901807db03b,1,2,"Caitlin Clarke (May 3, 1952 – September 9, 2004) was an American theater and film actress best known for her role as Valerian in the 1981 fantasy film ""Dragonslayer"" and for her role as Charlotte Cardoza in the 1998–1999 Broadway musical ""Titanic"".",0,What movie does Charlotte Cardoza have a role in that follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon?,Dragonslayer,hotpotqa,Caitlin Clarke,0,False,validation
5a736ae655429901807db03b-clean,5a736ae655429901807db03b,2,2,"The story, set in a fictional medieval kingdom, follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon.",0,What movie does Charlotte Cardoza have a role in that follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon?,Dragonslayer,hotpotqa,Dragonslayer,2,False,validation
5a736ae655429901807db03b-error,5a736ae655429901807db03b,1,2,"Caitlin Clarke (May 3, 1952 – September 9, 2004) was an American theater and film actress best known for her role as Valerian in the 1981 fantasy film ""Bigfoot"" and for her role as Charlotte Cardoza in the 1998–1999 Broadway musical ""Titanic"".",1,What movie does Charlotte Cardoza have a role in that follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon?,Dragonslayer,hotpotqa,Caitlin Clarke,0,True,validation
5a736ae655429901807db03b-error,5a736ae655429901807db03b,2,2,"The story, set in a fictional medieval kingdom, follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon.",0,What movie does Charlotte Cardoza have a role in that follows a young wizard who experiences danger and opposition as he attempts to defeat a dragon?,Dragonslayer,hotpotqa,Dragonslayer,2,False,validation
5a88e6095542993b751ca8bc-clean,5a88e6095542993b751ca8bc,1,3,High Life is an upcoming sci-fi adventure drama film written directed by Claire Denis.,0,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,High Life (2018 film),0,False,train
5a88e6095542993b751ca8bc-clean,5a88e6095542993b751ca8bc,2,3,"Apart from Denis, her long-time collaborator Jean-Pol Fargeau and novelist Nick Laird co-wrote the screenplay for the film.",0,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,High Life (2018 film),2,False,train
5a88e6095542993b751ca8bc-clean,5a88e6095542993b751ca8bc,3,3,"Nicholas ""Nick"" Laird (born 1975) is a Northern Irish novelist and poet.",0,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,Nick Laird,0,False,train
5a88e6095542993b751ca8bc-error,5a88e6095542993b751ca8bc,1,3,High Life is an upcoming sci-fi adventure drama film written directed by Claire Denis.,0,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,High Life (2018 film),0,False,train
5a88e6095542993b751ca8bc-error,5a88e6095542993b751ca8bc,2,3,"Apart from Denis, her long-time collaborator Jean-Pol Fargeau and novelist Nick Laird co-wrote the screenplay for the film.",0,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,High Life (2018 film),2,False,train
5a88e6095542993b751ca8bc-error,5a88e6095542993b751ca8bc,3,3,"Nicholas ""Nick"" Laird (born 1978) is a Northern Irish novelist and poet.",1,Who co-wrote the sci-fi adventure drama film High Life with Nick Laird?,Claire Denis,hotpotqa,Nick Laird,0,True,train
5a7796f255429967ab105205-clean,5a7796f255429967ab105205,1,2,"Named after Vancouver's commuter rail service, the line consisted of Markus Naslund at left wing, Brendan Morrison at centre, and Todd Bertuzzi playing right wing.",0,In what year was the right wing of the West Coast Express born?,1975,hotpotqa,West Coast Express (ice hockey),1,False,validation
5a7796f255429967ab105205-clean,5a7796f255429967ab105205,2,2,"Todd Bertuzzi (born February 2, 1975) is a Canadian retired professional ice hockey winger of the National Hockey League (NHL).",0,In what year was the right wing of the West Coast Express born?,1975,hotpotqa,Todd Bertuzzi,0,False,validation
